QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USCAMREP.80OCT.R203","1--Not important at all","7","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USCAMREP.80OCT.R203","2","6","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USCAMREP.80OCT.R203","3","8","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USCAMREP.80OCT.R203","4","17","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USCAMREP.80OCT.R203","5--Very important","60","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USCAMREP.80OCT.R203","Don't know","3","(Please look at this card. On it is a scale from 1 to 5. I'm going to read you a list of issues that were discussed in this year's presidential campaign. After each issue, I'd like you to tell me how important that issue was to you personally in deciding who to vote for, using a scale from 1 to 5 where 1 means not important at all and 5 means very important.)...The Iranian hostage situation","","","10/01/1980","Cambridge Reports/Research International","","Cambridge Reports National Omnibus Survey","10/01/1980","10/01/1980","N","national adult","1500","personal","Sample size is approximate." 
"USNBCWSJ.88JAN.R29","Very important","35","How important is this question (of George Bush's role in the Iran-Contra affair) to you in deciding whom to vote for (in the 1988 Presidential election)...very important, somewhat important, or not that important?","","Likely voters","01/01/1988","NBC News/Wall Street Journal","","NBC News/Wall Street Journal Poll","01/20/1988","01/22/1988","Y","national adult","2392","telephone","" 
"USNBCWSJ.88JAN.R29","Somewhat important","26","How important is this question (of George Bush's role in the Iran-Contra affair) to you in deciding whom to vote for (in the 1988 Presidential election)...very important, somewhat important, or not that important?","","Likely voters","01/01/1988","NBC News/Wall Street Journal","","NBC News/Wall Street Journal Poll","01/20/1988","01/22/1988","Y","national adult","2392","telephone","" 
"USNBCWSJ.88JAN.R29","Not that important","35","How important is this question (of George Bush's role in the Iran-Contra affair) to you in deciding whom to vote for (in the 1988 Presidential election)...very important, somewhat important, or not that important?","","Likely voters","01/01/1988","NBC News/Wall Street Journal","","NBC News/Wall Street Journal Poll","01/20/1988","01/22/1988","Y","national adult","2392","telephone","" 
"USNBCWSJ.88JAN.R29","Not sure","4","How important is this question (of George Bush's role in the Iran-Contra affair) to you in deciding whom to vote for (in the 1988 Presidential election)...very important, somewhat important, or not that important?","","Likely voters","01/01/1988","NBC News/Wall Street Journal","","NBC News/Wall Street Journal Poll","01/20/1988","01/22/1988","Y","national adult","2392","telephone","" 
