QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USNBCAP.39.R06","Excellent","3","What kind of job do you think President Carter has done handling the problems in Iran? Do you think he has done an excellent job, a good job, only a fair job, or has he done a poor job?","","","02/08/1979","NBC News/Associated Press","","NBC News/Associated Press Poll","02/05/1979","02/06/1979","Y","national adult","1600","telephone","" 
"USNBCAP.39.R06","Good","16","What kind of job do you think President Carter has done handling the problems in Iran? Do you think he has done an excellent job, a good job, only a fair job, or has he done a poor job?","","","02/08/1979","NBC News/Associated Press","","NBC News/Associated Press Poll","02/05/1979","02/06/1979","Y","national adult","1600","telephone","" 
"USNBCAP.39.R06","Only fair","46","What kind of job do you think President Carter has done handling the problems in Iran? Do you think he has done an excellent job, a good job, only a fair job, or has he done a poor job?","","","02/08/1979","NBC News/Associated Press","","NBC News/Associated Press Poll","02/05/1979","02/06/1979","Y","national adult","1600","telephone","" 
"USNBCAP.39.R06","Poor","27","What kind of job do you think President Carter has done handling the problems in Iran? Do you think he has done an excellent job, a good job, only a fair job, or has he done a poor job?","","","02/08/1979","NBC News/Associated Press","","NBC News/Associated Press Poll","02/05/1979","02/06/1979","Y","national adult","1600","telephone","" 
"USNBCAP.39.R06","Not sure","8","What kind of job do you think President Carter has done handling the problems in Iran? Do you think he has done an excellent job, a good job, only a fair job, or has he done a poor job?","","","02/08/1979","NBC News/Associated Press","","NBC News/Associated Press Poll","02/05/1979","02/06/1979","Y","national adult","1600","telephone","" 
"USABCHS.022079.R1E","Positive","23","(Let me ask you about some specific things President Carter has done.) How would you rate him on...His handling of the situation in Iran--excellent, pretty good, only fair or poor?","Positive = excellent and pretty good. Negative = only fair and poor.","","02/20/1979","ABC News/Louis Harris and Associates","","ABC News/Harris Survey","02/08/1979","02/12/1979","Y","national adult","1199","telephone","" 
"USABCHS.022079.R1E","Negative","68","(Let me ask you about some specific things President Carter has done.) How would you rate him on...His handling of the situation in Iran--excellent, pretty good, only fair or poor?","Positive = excellent and pretty good. Negative = only fair and poor.","","02/20/1979","ABC News/Louis Harris and Associates","","ABC News/Harris Survey","02/08/1979","02/12/1979","Y","national adult","1199","telephone","" 
"USABCHS.022079.R1E","Not sure","9","(Let me ask you about some specific things President Carter has done.) How would you rate him on...His handling of the situation in Iran--excellent, pretty good, only fair or poor?","Positive = excellent and pretty good. Negative = only fair and poor.","","02/20/1979","ABC News/Louis Harris and Associates","","ABC News/Harris Survey","02/08/1979","02/12/1979","Y","national adult","1199","telephone","" 
"USABCHS.040479.R2G","Positive","24","(Now let me ask you about some specific things President Carter has done.) How would you rate him on...His handling of the situation in Iran","Positive = excellent and pretty good. Negative = only fair and poor.","","04/04/1979","ABC News/Louis Harris and Associates","","ABC News/Harris Survey","03/22/1979","03/27/1979","Y","national adult","1596","telephone","" 
"USABCHS.040479.R2G","Negative","64","(Now let me ask you about some specific things President Carter has done.) How would you rate him on...His handling of the situation in Iran","Positive = excellent and pretty good. Negative = only fair and poor.","","04/04/1979","ABC News/Louis Harris and Associates","","ABC News/Harris Survey","03/22/1979","03/27/1979","Y","national adult","1596","telephone","" 
