QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
USCBS.032807C.R22,Threat requiring action now,18,"Thinking now about Iran.  Which comes closer to your own opinion--Iran is a threat to the United States that requires military action now, Iran is a threat that can be contained with diplomacy now, or Iran is not a threat to the United States at this time?",,,3/28/07,CBS News,,CBS News Poll,3/26/07,3/27/07,Y,national adult,831,telephone, 
USCBS.032807C.R22,Threat that can be contained,54,"Thinking now about Iran.  Which comes closer to your own opinion--Iran is a threat to the United States that requires military action now, Iran is a threat that can be contained with diplomacy now, or Iran is not a threat to the United States at this time?",,,3/28/07,CBS News,,CBS News Poll,3/26/07,3/27/07,Y,national adult,831,telephone, 
USCBS.032807C.R22,Not a threat at this time,18,"Thinking now about Iran.  Which comes closer to your own opinion--Iran is a threat to the United States that requires military action now, Iran is a threat that can be contained with diplomacy now, or Iran is not a threat to the United States at this time?",,,3/28/07,CBS News,,CBS News Poll,3/26/07,3/27/07,Y,national adult,831,telephone, 
USCBS.032807C.R22,Don't know/No answer,10,"Thinking now about Iran.  Which comes closer to your own opinion--Iran is a threat to the United States that requires military action now, Iran is a threat that can be contained with diplomacy now, or Iran is not a threat to the United States at this time?",,,3/28/07,CBS News,,CBS News Poll,3/26/07,3/27/07,Y,national adult,831,telephone, 
USPSRA.062707.R63,Very serious threat,59,"If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?",,Asked of half sample,6/27/07,Princeton Survey Research Associates International,Pew Global Attitudes Project,Pew Global Attitudes Project Poll,4/23/07,5/6/07,Y,national adult,2026,telephone,There were parallel surveys in 46 other countries. 
USPSRA.062707.R63,Somewhat serious threat,27,"If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?",,Asked of half sample,6/27/07,Princeton Survey Research Associates International,Pew Global Attitudes Project,Pew Global Attitudes Project Poll,4/23/07,5/6/07,Y,national adult,2026,telephone,There were parallel surveys in 46 other countries. 
USPSRA.062707.R63,Minor threat,9,"If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?",,Asked of half sample,6/27/07,Princeton Survey Research Associates International,Pew Global Attitudes Project,Pew Global Attitudes Project Poll,4/23/07,5/6/07,Y,national adult,2026,telephone,There were parallel surveys in 46 other countries. 
USPSRA.062707.R63,No threat at all,3,"If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?",,Asked of half sample,6/27/07,Princeton Survey Research Associates International,Pew Global Attitudes Project,Pew Global Attitudes Project Poll,4/23/07,5/6/07,Y,national adult,2026,telephone,There were parallel surveys in 46 other countries. 
USPSRA.062707.R63,Don't know/Refused,2,"If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?",,Asked of half sample,6/27/07,Princeton Survey Research Associates International,Pew Global Attitudes Project,Pew Global Attitudes Project Poll,4/23/07,5/6/07,Y,national adult,2026,telephone,There were parallel surveys in 46 other countries. 
USTNS.07TRANS.R08C,Very likely,44,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R08C,Somewhat likely,28,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R08C,Not too likely,16,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R08C,Not likely at all,8,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R08C,Don't know/Refused,4,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R18D,Very likely,36,"(If Iran obtains nuclear weapons, how likely or not do you think it is that the following will happen?  Just give us your best guess....Very likely, somewhat likely, not very likely, not likely at all)...Iran will threaten Europe with nuclear weapons.",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R18D,Somewhat likely,30,"(If Iran obtains nuclear weapons, how likely or not do you think it is that the following will happen?  Just give us your best guess....Very likely, somewhat likely, not very likely, not likely at all)...Iran will threaten Europe with nuclear weapons.",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R18D,Not very likely,20,"(If Iran obtains nuclear weapons, how likely or not do you think it is that the following will happen?  Just give us your best guess....Very likely, somewhat likely, not very likely, not likely at all)...Iran will threaten Europe with nuclear weapons.",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R18D,Not likely at all,9,"(If Iran obtains nuclear weapons, how likely or not do you think it is that the following will happen?  Just give us your best guess....Very likely, somewhat likely, not very likely, not likely at all)...Iran will threaten Europe with nuclear weapons.",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.07TRANS.R18D,Don't know/Refused,5,"(If Iran obtains nuclear weapons, how likely or not do you think it is that the following will happen?  Just give us your best guess....Very likely, somewhat likely, not very likely, not likely at all)...Iran will threaten Europe with nuclear weapons.",,,9/6/07,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2007 Survey,6/4/07,6/23/07,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USCBSNYT.090907.R103,Threat requiring action now,9,Which comes closer to your opinion?...Iran is a threat to the United States that requires military action now.  Iran is a threat that can be contained with diplomacy now.  Iran is not a threat to the United States at this time.,,,9/9/07,CBS News/New York Times,,CBS News/New York Times Poll,9/4/07,9/8/07,Y,national adult with an oversample of those with family members who are now serving in the us armed forces or the us reserves,1035,telephone,Results are weighted to be representative of a national adult population. 
USCBSNYT.090907.R103,Threat that can be contained,59,Which comes closer to your opinion?...Iran is a threat to the United States that requires military action now.  Iran is a threat that can be contained with diplomacy now.  Iran is not a threat to the United States at this time.,,,9/9/07,CBS News/New York Times,,CBS News/New York Times Poll,9/4/07,9/8/07,Y,national adult with an oversample of those with family members who are now serving in the us armed forces or the us reserves,1035,telephone,Results are weighted to be representative of a national adult population. 
USCBSNYT.090907.R103,Not a threat at this time,24,Which comes closer to your opinion?...Iran is a threat to the United States that requires military action now.  Iran is a threat that can be contained with diplomacy now.  Iran is not a threat to the United States at this time.,,,9/9/07,CBS News/New York Times,,CBS News/New York Times Poll,9/4/07,9/8/07,Y,national adult with an oversample of those with family members who are now serving in the us armed forces or the us reserves,1035,telephone,Results are weighted to be representative of a national adult population. 
USCBSNYT.090907.R103,Don't know/No answer,8,Which comes closer to your opinion?...Iran is a threat to the United States that requires military action now.  Iran is a threat that can be contained with diplomacy now.  Iran is not a threat to the United States at this time.,,,9/9/07,CBS News/New York Times,,CBS News/New York Times Poll,9/4/07,9/8/07,Y,national adult with an oversample of those with family members who are now serving in the us armed forces or the us reserves,1035,telephone,Results are weighted to be representative of a national adult population. 
USORC.2008006.Q30B,Very serious threat,42,"(Would you say that the following represent a very serious threat to the United States, a moderately serious threat, just a slight threat, or no threat at all?)...Iran",,Asked of one-third sample,5/31/08,Opinion Research Corporation,Cable News Network,CNN/Opinion Research Corporation Poll,4/28/08,4/30/08,Y,national adult,1008,telephone, 
USORC.2008006.Q30B,Moderately serious threat,33,"(Would you say that the following represent a very serious threat to the United States, a moderately serious threat, just a slight threat, or no threat at all?)...Iran",,Asked of one-third sample,5/31/08,Opinion Research Corporation,Cable News Network,CNN/Opinion Research Corporation Poll,4/28/08,4/30/08,Y,national adult,1008,telephone, 
USORC.2008006.Q30B,Just a slight threat,16,"(Would you say that the following represent a very serious threat to the United States, a moderately serious threat, just a slight threat, or no threat at all?)...Iran",,Asked of one-third sample,5/31/08,Opinion Research Corporation,Cable News Network,CNN/Opinion Research Corporation Poll,4/28/08,4/30/08,Y,national adult,1008,telephone, 
USORC.2008006.Q30B,No threat at all,6,"(Would you say that the following represent a very serious threat to the United States, a moderately serious threat, just a slight threat, or no threat at all?)...Iran",,Asked of one-third sample,5/31/08,Opinion Research Corporation,Cable News Network,CNN/Opinion Research Corporation Poll,4/28/08,4/30/08,Y,national adult,1008,telephone, 
USORC.2008006.Q30B,Don't know/Undecided/Refused,4,"(Would you say that the following represent a very serious threat to the United States, a moderately serious threat, just a slight threat, or no threat at all?)...Iran",,Asked of one-third sample,5/31/08,Opinion Research Corporation,Cable News Network,CNN/Opinion Research Corporation Poll,4/28/08,4/30/08,Y,national adult,1008,telephone, 
USPSRA.061608.R30D,Major threat,62,"(I'd like your opinion about some possible international concerns for the US.) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,,6/16/08,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,5/21/08,5/25/08,Y,national adult,1505,telephone, 
USPSRA.061608.R30D,Minor threat,25,"(I'd like your opinion about some possible international concerns for the US.) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,,6/16/08,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,5/21/08,5/25/08,Y,national adult,1505,telephone, 
USPSRA.061608.R30D,Not a threat,8,"(I'd like your opinion about some possible international concerns for the US.) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,,6/16/08,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,5/21/08,5/25/08,Y,national adult,1505,telephone, 
USPSRA.061608.R30D,Don't know/Refused,5,"(I'd like your opinion about some possible international concerns for the US.) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,,6/16/08,Princeton Survey Research Associates International,Pew Research Center for the People & the Press,Pew Research Center for the People & the Press Political Survey,5/21/08,5/25/08,Y,national adult,1505,telephone, 
USTNS.08TRANS.R15B,Very likely,39,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/10/08,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2008 Survey,6/4/08,6/24/08,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.08TRANS.R15B,Somewhat likely,31,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/10/08,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2008 Survey,6/4/08,6/24/08,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.08TRANS.R15B,Not too likely,14,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/10/08,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2008 Survey,6/4/08,6/24/08,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.08TRANS.R15B,Not likely at all,13,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/10/08,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2008 Survey,6/4/08,6/24/08,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USTNS.08TRANS.R15B,Don't know/Refused,4,"(And in the next 10 years, please tell me how likely you are to be personally affected by each of the following threats....Very likely, somewhat likely, not too likely, not likely at all)...Iran acquiring nuclear weapons",,,9/10/08,TNS Opinion and Social Institutes,"German Marshall Fund of the US and the Compagnia di San Paolo, Italy, with additional support from the Luso-American Foundation, Portugal, Fundacion BBVA, Spain, and the Tipping Point Fdtn., Bulgaria.",Transatlantic Trends 2008 Survey,6/4/08,6/24/08,Y,national adult,1000,telephone,"Interviews were conducted in the US by Leger Marketing of Montreal. Parallel surveys were conducted in Great Britain, France, Germany, Italy, the Netherlands, Portugal, Poland, Spain, Slovakia, Turkey, Bulgaria, and Romania. All fieldwork was coordinated by TNS Opinion and Social Institutes. "
USPSRA.092408.R42DF1,Major threat,60,"(I'd like your opinion about some possible international concerns for the US (United States).) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,Asked of Form 1 half sample,9/24/08,"Princeton Survey Research Associates International, Abt SRBI","Pew Research Center for the People & the Press, Council on Foreign Relations",Pew Research Center for the People & the Press Political/Foreign Policy Poll,9/9/08,9/14/08,Y,national adult,2982,telephone,"2250 respondents were interviewed on a landline telephone, and 732 were interviewed on a cell phone, including 254 who had no landline telephone. "
USPSRA.092408.R42DF1,Minor threat,29,"(I'd like your opinion about some possible international concerns for the US (United States).) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,Asked of Form 1 half sample,9/24/08,"Princeton Survey Research Associates International, Abt SRBI","Pew Research Center for the People & the Press, Council on Foreign Relations",Pew Research Center for the People & the Press Political/Foreign Policy Poll,9/9/08,9/14/08,Y,national adult,2982,telephone,"2250 respondents were interviewed on a landline telephone, and 732 were interviewed on a cell phone, including 254 who had no landline telephone. "
USPSRA.092408.R42DF1,Not a threat,6,"(I'd like your opinion about some possible international concerns for the US (United States).) Do you think that...Iran's nuclear program is a major threat, a minor threat or not a threat to the well being of the United States?",,Asked of Form 1 half sample,9/24/08,"Princeton Survey Research Associates International, Abt SRBI","Pew Research Center for the People & the Press, Council on Foreign Relations",Pew Research Center for the People & the Press Political/Foreign Policy Poll,9/9/08,9/14/08,Y,national adult,2982,telephone,"2250 respondents were interviewed on a landline telephone, and 732 were interviewed on a cell phone, including 254 who had no landline telephone. "
