QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
USROPER.79-2.R02L,Following closely,41,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,3/1/79,Roper Organization,,Roper Report 79-2,1/6/79,1/20/79,Y,national adult,2003,telephone, 
USROPER.79-2.R02L,Following casually,40,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,3/1/79,Roper Organization,,Roper Report 79-2,1/6/79,1/20/79,Y,national adult,2003,telephone, 
USROPER.79-2.R02L,No attention or don't know,20,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,3/1/79,Roper Organization,,Roper Report 79-2,1/6/79,1/20/79,Y,national adult,2003,telephone, 
USROPER.79-3.R02L,Following closely,57,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,4/1/79,Roper Organization,,Roper Report 79-3,2/10/79,2/24/79,Y,national adult,2004,personal, 
USROPER.79-3.R02L,Following casually,30,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,4/1/79,Roper Organization,,Roper Report 79-3,2/10/79,2/24/79,Y,national adult,2004,personal, 
USROPER.79-3.R02L,No attention/Don't know,13,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about... The situation in Iran... something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,4/1/79,Roper Organization,,Roper Report 79-3,2/10/79,2/24/79,Y,national adult,2004,personal, 
USROPER.79-5.R02D,Following closely,36,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,6/1/79,Roper Organization,,Roper Report 79-5,4/28/79,5/5/79,Y,national adult,2007,personal, 
USROPER.79-5.R02D,Following casually,43,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,6/1/79,Roper Organization,,Roper Report 79-5,4/28/79,5/5/79,Y,national adult,2007,personal, 
USROPER.79-5.R02D,No attention or don't know,21,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,6/1/79,Roper Organization,,Roper Report 79-5,4/28/79,5/5/79,Y,national adult,2007,personal, 
USROPER.79-6.R02D,Following closely,34,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,7/1/79,Roper Organization,,Roper Report 79-6,6/2/79,6/9/79,Y,national adult,2006,personal, 
USROPER.79-6.R02D,Following casually,41,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,7/1/79,Roper Organization,,Roper Report 79-6,6/2/79,6/9/79,Y,national adult,2006,personal, 
USROPER.79-6.R02D,No attention or don't know,26,"(Of course, everyone is more interested in some things being carried in the news than in others.) Is news about...The situation in Iran...something you have recently been following fairly closely, or just following casually, or not paying much attention to?",,,7/1/79,Roper Organization,,Roper Report 79-6,6/2/79,6/9/79,Y,national adult,2006,personal, 
USLAT.21.R34,Following closely,92,"(Of course, everyone is more interested in some things in the news than in others.) Is the situation in Iran something that you have been following closely, or just following casually, or not paying much attention to?",,,12/31/79,Los Angeles Times,,Los Angeles Times Poll,12/16/79,12/18/79,Y,national adult,1047,telephone, 
USLAT.21.R34,Following casually,6,"(Of course, everyone is more interested in some things in the news than in others.) Is the situation in Iran something that you have been following closely, or just following casually, or not paying much attention to?",,,12/31/79,Los Angeles Times,,Los Angeles Times Poll,12/16/79,12/18/79,Y,national adult,1047,telephone, 
