QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
USORC.112113.R15,Favor,56,"As you may know, the US and other countries have imposed strict economic sanctions against Iran while that country has nuclear facilities which could eventually allow it to produce its own nuclear weapons. Would you favor or oppose an interim deal that would ease some of those economic sanctions and in exchange require Iran to accept major restrictions on its nuclear program but not end it completely and submit to greater international inspection of its nuclear facilities?",,,11/21/13,ORC International,Cable News Network,CNN/ORC International Poll,11/18/13,11/20/13,Y,national adult,843,telephone,The sample included 595 interviews among landline respondents and 248 interviews among cell phone respondents. 
USORC.112113.R15,Oppose,39,"As you may know, the US and other countries have imposed strict economic sanctions against Iran while that country has nuclear facilities which could eventually allow it to produce its own nuclear weapons. Would you favor or oppose an interim deal that would ease some of those economic sanctions and in exchange require Iran to accept major restrictions on its nuclear program but not end it completely and submit to greater international inspection of its nuclear facilities?",,,11/21/13,ORC International,Cable News Network,CNN/ORC International Poll,11/18/13,11/20/13,Y,national adult,843,telephone,The sample included 595 interviews among landline respondents and 248 interviews among cell phone respondents. 
USORC.112113.R15,No opinion,5,"As you may know, the US and other countries have imposed strict economic sanctions against Iran while that country has nuclear facilities which could eventually allow it to produce its own nuclear weapons. Would you favor or oppose an interim deal that would ease some of those economic sanctions and in exchange require Iran to accept major restrictions on its nuclear program but not end it completely and submit to greater international inspection of its nuclear facilities?",,,11/21/13,ORC International,Cable News Network,CNN/ORC International Poll,11/18/13,11/20/13,Y,national adult,843,telephone,The sample included 595 interviews among landline respondents and 248 interviews among cell phone respondents. 
USQUINN.121013.R54,Support,44,"As you may know, Iran has agreed to limit its nuclear program in exchange for lighter economic sanctions. Do you support or oppose this nuclear deal reached with Iran?",,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R54,Oppose,46,"As you may know, Iran has agreed to limit its nuclear program in exchange for lighter economic sanctions. Do you support or oppose this nuclear deal reached with Iran?",,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R54,Don't know/No answer,10,"As you may know, Iran has agreed to limit its nuclear program in exchange for lighter economic sanctions. Do you support or oppose this nuclear deal reached with Iran?",,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R55,US safer,37,Do you think this deal with Iran (limiting its nuclear program in exchange for lighter economic sanctions) will make the United States safer or less safe?,,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R55,Less safe,45,Do you think this deal with Iran (limiting its nuclear program in exchange for lighter economic sanctions) will make the United States safer or less safe?,,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R55,Don't know/No answer,18,Do you think this deal with Iran (limiting its nuclear program in exchange for lighter economic sanctions) will make the United States safer or less safe?,,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
USQUINN.121013.R56,Israel safer,29,Do you think this deal with Iran (limits its nuclear program in exchange for lighter economic sanctions) will make Israel safer or less safe?,,,12/10/13,Quinnipiac University Polling Institute,,Quinnipiac University Poll,12/3/13,12/9/13,Y,national registered voters,2692,telephone,The interviews included landline and cell phones. 
