QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
USPSRA.080798.R21H,Very favorable,1,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USPSRA.080798.R21H,Mostly favorable,10,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USPSRA.080798.R21H,Mostly unfavorable,35,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USPSRA.080798.R21H,Very unfavorable,40,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USPSRA.080798.R21H,Never heard,1,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USPSRA.080798.R21H,Don't know,13,"(I'd like your overall opinion of some foreign countries.) Is your overall opinion of...Iran ...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",,Asked of Form 2 half sample,8/7/98,Princeton Survey Research Associates,Pew Research Center for the People & the Press,Pew News Interest Index Poll,7/29/98,8/2/98,Y,national adult,1189,telephone, 
USGALLUP.98CCFRP.R20E,76-100 degrees--warm,4,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USGALLUP.98CCFRP.R20E,51-75 degrees,5,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USGALLUP.98CCFRP.R20E,50 degrees--neutral,16,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USGALLUP.98CCFRP.R20E,31-49 degrees,10,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USGALLUP.98CCFRP.R20E,0-30 degrees--cool,63,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USGALLUP.98CCFRP.R20E,Don't know/Refused,2,"(I'd like you to rate these countries on this feeling thermometer. If you feel neutral toward a country, give it a temperature of 50 degrees. If you have a warm feeling toward a country, give it a temperature higher than 50 degrees. If you have a cool feeling toward a country, give it a temperature lower than 50 degrees.) What temperature would you give to... Iran?",Mean = 28 degrees,,12/1/98,Gallup Organization,Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/98,11/10/98,Y,national adult,1507,personal,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center. 
USPOTM.99ASIA.R5L,Ally,3,"(I'd like to have your impressions about the overall position that some countries have taken toward the US (United States). As I read down a list of countries, do you believe that country has acted as a close ally of the US, has acted as a friend but not a close ally, has been more or less neutral toward the US, has been mainly unfriendly toward the US but not an enemy, or has acted as an enemy of the US?)...Iran",,,10/1/99,Potomac Associates and Opinion Dynamics,Henry Luce Foundation,Americans Look at Asia Survey,6/16/99,6/28/99,Y,national adult,1200,telephone, 
USPOTM.99ASIA.R5L,Friend,10,"(I'd like to have your impressions about the overall position that some countries have taken toward the US (United States). As I read down a list of countries, do you believe that country has acted as a close ally of the US, has acted as a friend but not a close ally, has been more or less neutral toward the US, has been mainly unfriendly toward the US but not an enemy, or has acted as an enemy of the US?)...Iran",,,10/1/99,Potomac Associates and Opinion Dynamics,Henry Luce Foundation,Americans Look at Asia Survey,6/16/99,6/28/99,Y,national adult,1200,telephone, 
USPOTM.99ASIA.R5L,Neutral,10,"(I'd like to have your impressions about the overall position that some countries have taken toward the US (United States). As I read down a list of countries, do you believe that country has acted as a close ally of the US, has acted as a friend but not a close ally, has been more or less neutral toward the US, has been mainly unfriendly toward the US but not an enemy, or has acted as an enemy of the US?)...Iran",,,10/1/99,Potomac Associates and Opinion Dynamics,Henry Luce Foundation,Americans Look at Asia Survey,6/16/99,6/28/99,Y,national adult,1200,telephone, 
USPOTM.99ASIA.R5L,Unfriendly,29,"(I'd like to have your impressions about the overall position that some countries have taken toward the US (United States). As I read down a list of countries, do you believe that country has acted as a close ally of the US, has acted as a friend but not a close ally, has been more or less neutral toward the US, has been mainly unfriendly toward the US but not an enemy, or has acted as an enemy of the US?)...Iran",,,10/1/99,Potomac Associates and Opinion Dynamics,Henry Luce Foundation,Americans Look at Asia Survey,6/16/99,6/28/99,Y,national adult,1200,telephone, 
USPOTM.99ASIA.R5L,Enemy,45,"(I'd like to have your impressions about the overall position that some countries have taken toward the US (United States). As I read down a list of countries, do you believe that country has acted as a close ally of the US, has acted as a friend but not a close ally, has been more or less neutral toward the US, has been mainly unfriendly toward the US but not an enemy, or has acted as an enemy of the US?)...Iran",,,10/1/99,Potomac Associates and Opinion Dynamics,Henry Luce Foundation,Americans Look at Asia Survey,6/16/99,6/28/99,Y,national adult,1200,telephone, 
